,MapNumber,Score,matchedTittle,movieTittle
733,10351,100,Johnny Suede,Johnny SuedeåÊ
737,13224,100,Everything Put Together,Everything Put TogetheråÊ
758,7965,100,Home Movies,Home MoviesåÊ            
759,7351,100,The Dark Hours,The Dark HoursåÊ
760,8861,100,My Beautiful Laundrette,My Beautiful LaundretteåÊ
764,8333,100,The Evil Dead,The Evil DeadåÊ
765,8709,100,Revolution,RevolutionåÊ            
770,3822,100,3 Backyards,3 BackyardsåÊ
771,6082,100,PIERROT LE FOU,Pierrot le FouåÊ
772,4900,100,Royal Kill,Royal KillåÊ
782,5456,100,Happy Valley,Happy ValleyåÊ            
790,12676,100,Butterfly,ButterflyåÊ
793,12253,100,The Love Letter,The Love LetteråÊ
798,1421,100,Along the Roadside,Along the RoadsideåÊ
802,7918,100,Mad Max,Mad MaxåÊ
804,7692,100,Malevolence,MalevolenceåÊ
807,7310,100,Solitude,SolitudeåÊ
808,6781,100,The Case of the Grinning Cat,The Case of the Grinning CatåÊ
816,1264,100,Butterfly Girl,Butterfly GirlåÊ
818,14185,100,The Calling,The CallingåÊ
824,8159,100,Cat People,Cat PeopleåÊ
831,9780,100,Night of the Living Dead,Night of the Living DeadåÊ
833,116,100,The Birth of a Nation,The Birth of a NationåÊ
834,14203,100,The Work and the Story,The Work and the StoryåÊ
843,1853,100,The Past is a Grotesque Animal,The Past is a Grotesque AnimalåÊ
844,7315,94,"Peace, Propaganda and the Promised Land","Peace, Propaganda & the Promised LandåÊ"
848,2665,100,Supporting Characters,Supporting CharactersåÊ
851,13050,100,Gabriela,GabrielaåÊ
854,1324,100,Counting,CountingåÊ
857,5355,100,The Signal,The SignalåÊ
859,2577,100,This is Martin Bonner,This Is Martin BonneråÊ
860,881,91,True Story,A True StoryåÊ
861,1321,100,Dawn of the Crescent Moon,Dawn of the Crescent MoonåÊ
864,6671,100,Mutual Appreciation,Mutual AppreciationåÊ
867,14166,100,Manito,ManitoåÊ
868,10314,100,Rampage,RampageåÊ
