,MapNumber,Score,matchedTittle,movieTittle,,,,,
289,5167,64,Never Back Down,Green Street 3: Never Back DownåÊ,,,,,0
290,5119,81,Made of Honor,Code of HonoråÊ,,,,,1
291,1365,96,Far from Men,Far from MenåÊ,,,,,1
292,12592,61,Nurse Betty,Outside BetåÊ,,,,,0
293,1358,97,Black November,Black NovemberåÊ,,,,,1
294,695,74,The Hollow,The HoleåÊ,,,,,0
295,339,94,The Wave,The WaveåÊ,,,,,1
296,3205,62,Sound of Noise,Pound of FleshåÊ,,,,,0
297,11233,43,Fargo,FargoåÊ            ,,,,,0
298,10208,79,Buffy the Vampire Slayer,Buffy the Vampire SlayeråÊ            ,,,,,0
299,9211,70,Alien Nation,Alien ZoneåÊ,,,,,0
300,9330,38,Little Nikita,NikitaåÊ            ,,,,,0
301,1096,44,Devil and Angel (E Gun Tian Shi),Dark AngelåÊ            ,,,,,0
302,8352,95,Losin' It,Losin' ItåÊ,,,,,1
303,1220,97,Hard to Be a God,Hard to Be a GodåÊ,,,,,1
304,12847,97,The Boondock Saints,The Boondock SaintsåÊ,,,,,1
305,4980,77,Storm,Z StormåÊ,,,,,0
306,7762,73,Twist,TwixtåÊ,,,,,0
307,101,67,Snowden,Snow QueenåÊ,,,,,0
308,8644,57,He-Man and She-Ra in The Secret of the Sword,Alpha and Omega 4: The Legend of the Saw Toothed CaveåÊ,,,,,0
309,8670,60,Starchaser: The Legend of Orin,Stargate: The Ark of TruthåÊ,,,,,0
310,5091,71,High School Musical 3: Senior Year,High School Musical 2åÊ,,,,,0
311,13647,67,Love and a Bullet,Two Lovers and a BearåÊ,,,,,0
312,4567,62,Paranormal Activity,Criminal ActivitiesåÊ,,,,,0
313,7976,97,The Four Seasons,The Four SeasonsåÊ,,,,,1
314,13866,67,The Human Stain,The Andromeda StrainåÊ,,,,,0
315,4897,80,Trucker,TrackeråÊ,,,,,0
316,8602,91,Return of the Living Dead,The Return of the Living DeadåÊ,,,,,1
317,5265,55,Gomorrah,GomorrahåÊ            ,,,,,0
318,5000,42,One Peace at a Time,War & PeaceåÊ            ,,,,,0
319,1597,67,Veronica Mars,Veronica MarsåÊ            ,,,,,0
320,13625,71,Food of Love,Goddess of LoveåÊ,,,,,0
321,6380,70,The Wild,The Wild BunchåÊ,,,,,0
322,7260,67,The Great Water,The Great Train RobberyåÊ,,,,,0
323,220,77,Julieta,JuliaåÊ,,,,,0
